filepath,layer,language,frequency
10shot_arabic_czech_predictions.csv,22,ces,11.054499999999997
10shot_arabic_czech_predictions.csv,23,eng,586.8269000000015
10shot_arabic_czech_predictions.csv,23,ara,0.7091000000000001
10shot_arabic_czech_predictions.csv,23,ces,16.93159999999999
10shot_arabic_czech_predictions.csv,24,eng,540.9251999999996
10shot_arabic_czech_predictions.csv,24,ara,1.0595999999999999
10shot_arabic_czech_predictions.csv,24,ces,19.83009999999999
10shot_arabic_czech_predictions.csv,25,ces,45.43630000000001
10shot_arabic_czech_predictions.csv,25,eng,401.4041
10shot_arabic_czech_predictions.csv,25,ara,0.9403000000000004
10shot_arabic_czech_predictions.csv,26,ces,103.16790000000016
10shot_arabic_czech_predictions.csv,26,eng,316.1747999999988
10shot_arabic_czech_predictions.csv,26,ara,1.685699999999999
10shot_arabic_czech_predictions.csv,27,ces,286.9292000000004
10shot_arabic_czech_predictions.csv,27,eng,118.3208
10shot_arabic_czech_predictions.csv,27,ara,5.446299999999998
10shot_arabic_czech_predictions.csv,28,ces,421.0751000000007
10shot_arabic_czech_predictions.csv,28,eng,29.816899999999983
10shot_arabic_czech_predictions.csv,28,ara,8.151299999999999
10shot_arabic_czech_predictions.csv,7,ces,0.41670000000000024
10shot_arabic_czech_predictions.csv,7,eng,0.7542999999999993
10shot_arabic_czech_predictions.csv,7,ara,0.0018
10shot_arabic_czech_predictions.csv,5,ces,1.038499999999999
10shot_arabic_czech_predictions.csv,5,eng,0.0583
10shot_arabic_czech_predictions.csv,5,ara,0.0015
1shot_arabic_czech_predictions.csv,1,ces,1000.0
1shot_arabic_czech_predictions.csv,1,ara,0.0
1shot_arabic_czech_predictions.csv,1,eng,0.0
1shot_arabic_czech_predictions.csv,2,ces,198.12339999999998
1shot_arabic_czech_predictions.csv,2,ara,0.0026
1shot_arabic_czech_predictions.csv,3,ces,16.08950000000003
1shot_arabic_czech_predictions.csv,3,eng,2.3753999999999933
1shot_arabic_czech_predictions.csv,4,ces,8.400799999999975
1shot_arabic_czech_predictions.csv,4,eng,0.0343
1shot_arabic_czech_predictions.csv,5,ces,0.4478000000000003
1shot_arabic_czech_predictions.csv,5,eng,0.10569999999999997
1shot_arabic_czech_predictions.csv,8,eng,14.119999999999978
1shot_arabic_czech_predictions.csv,8,ces,3.1767
1shot_arabic_czech_predictions.csv,9,eng,3.435999999999994
1shot_arabic_czech_predictions.csv,9,ces,0.7259000000000009
1shot_arabic_czech_predictions.csv,9,ara,0.0118
1shot_arabic_czech_predictions.csv,13,ces,2.2223000000000095
1shot_arabic_czech_predictions.csv,13,eng,1.195300000000003
1shot_arabic_czech_predictions.csv,13,ara,0.0068000000000000005
1shot_arabic_czech_predictions.csv,14,ces,3.802899999999981
